ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
4129,0,Car,Female,51,HS,89388,689,0,2,Citizen
4197,0,Home,Male,44,HS,86829,603,9,2,Citizen
4212,1,Car,Male,40,College,90413,596,1,2,Citizen
4145,0,Car,Female,41,College,71433,603,0,2,Citizen
4151,0,Car,Male,44,Graduate,97332,584,2,2,Citizen
4185,0,Home,Male,45,College,101462,569,8,2,Citizen
4195,0,Car,Female,43,College,64636,550,0,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4141,0,Car,Female,42,HS,96913,573,2,1,Citizen
4030,0,Car,Male,48,HS,103384,536,0,2,Citizen
4044,0,Car,Female,44,College,100545,724,0,2,Citizen
4033,0,Home,Male,42,HS,86075,584,4,2,Citizen
4069,0,Home,Male,37,HS,103658,600,10,2,Citizen
4074,0,Home,Male,36,HS,103205,702,4,2,Citizen
4188,0,Car,Female,54,HS,117815,726,2,1,Non-citizen
4089,0,Car,Male,42,HS,112289,607,2,2,Citizen
4193,0,Car,Female,42,College,109464,646,2,2,Citizen
4136,0,Car,Male,41,HS,87283,558,0,2,Citizen
4166,1,Car,Female,47,College,101642,692,2,2,Citizen
4020,0,Car,Male,41,HS,108082,575,0,2,Citizen
4103,0,Home,Male,38,HS,70327,570,3,2,Citizen
4132,0,Car,Female,48,HS,120752,627,1,1,Non-citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4135,0,Home,Male,34,HS,114299,639,7,2,Citizen
4110,0,Car,Female,44,HS,62157,630,1,1,Citizen
4162,0,Car,Male,48,College,113947,564,2,2,Citizen
4215,0,Car,Male,50,HS,92432,526,2,2,Citizen
4041,0,Car,Female,49,HS,81446,568,2,2,Citizen
4164,0,Car,Female,35,HS,111865,568,3,2,Citizen
4157,0,Home,Male,44,HS,85542,646,9,2,Citizen
4174,1,Car,Male,45,College,94922,668,1,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4045,0,Car,Female,53,HS,115793,504,0,2,Citizen
4090,0,Home,Male,34,College,93864,597,4,2,Citizen
4064,1,Car,Female,39,Graduate,123493,798,0,2,Non-citizen
4053,0,Car,Male,39,HS,87434,610,0,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4120,0,Home,Female,41,HS,127588,632,4,2,Citizen
4172,0,Home,Male,31,HS,91966,539,3,2,Citizen
4119,0,Home,Male,44,HS,109565,520,2,2,Citizen
4046,0,Home,Male,43,HS,80111,576,5,2,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4170,0,Car,Male,43,HS,71026,580,0,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4084,0,Car,Male,49,HS,144418,727,1,2,Citizen
4114,0,Car,Female,31,College,95625,679,0,2,Citizen
4032,0,Car,Female,35,HS,74366,594,0,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4111,0,Car,Female,51,College,135858,758,2,2,Non-citizen
4173,0,Car,Male,35,HS,92721,502,0,2,Citizen
4154,0,Car,Female,43,HS,93340,659,1,2,Citizen
4175,0,Home,Male,33,HS,82603,528,1,2,Citizen
4065,0,Car,Female,37,College,78129,644,3,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4149,0,Car,Female,42,HS,88951,568,0,2,Citizen
4085,0,Car,Female,41,College,113281,658,2,2,Citizen
4131,0,Home,Female,39,HS,74125,558,3,2,Citizen
4125,0,Car,Male,40,College,125736,604,3,2,Citizen
4097,0,Car,Male,36,College,73045,515,0,2,Citizen
4058,0,Home,Female,50,College,100260,650,6,2,Citizen
4101,0,Home,Male,33,HS,80088,484,5,2,Citizen
4217,0,Car,Female,45,HS,103176,692,0,1,Citizen
4166,1,Car,Female,47,College,101642,692,2,2,Citizen
4122,0,Car,Female,48,HS,105260,685,2,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4029,0,Home,Male,45,College,96278,574,11,2,Citizen
4142,0,Car,Female,47,College,109532,663,0,2,Citizen
4123,0,Car,Male,47,HS,77881,458,0,2,Citizen
4100,0,Car,Female,37,HS,104330,523,1,2,Citizen
4140,0,Car,Female,35,HS,110532,565,0,2,Citizen
